,year,week,game_date,home_team,home_score,home_spread_score,away_team,away_score,away_spread_score,spread_pts,spread_team
0,2000,1,2000-09-03 13:02:00,ATL,36,29.5,SFO,28,28.0,-6.5,ATL
1,2000,1,2000-09-03 20:35:00,BUF,16,15.0,TEN,13,13.0,-1.0,BUF
2,2000,1,2000-09-03 13:02:00,CLE,7,7.0,JAX,27,16.5,-10.5,JAX
3,2000,1,2000-09-03 16:05:00,DAL,14,8.0,PHI,41,41.0,-6.0,DAL
4,2000,1,2000-09-03 16:20:00,GB,16,13.5,NYJ,20,20.0,-2.5,GB
5,2000,1,2000-09-03 13:00:00,KC,14,14.0,IND,27,23.5,-3.5,IND
6,2000,1,2000-09-03 16:16:00,MIA,23,21.0,SEA,0,0.0,-2.0,MIA
7,2000,1,2000-09-03 13:00:00,MIN,30,25.5,CHI,27,27.0,-4.5,MIN
8,2000,1,2000-09-03 13:03:00,NOR,10,10.0,DET,14,14.0,0.0,NOR
9,2000,1,2000-09-03 13:02:00,NWE,16,16.0,TAM,21,18.0,-3.0,TAM
10,2000,1,2000-09-03 13:04:00,NYG,21,14.5,ARI,16,16.0,-6.5,NYG
11,2000,1,2000-09-03 13:02:00,PIT,0,0.0,BAL,16,13.5,-2.5,BAL
12,2000,1,2000-09-03 16:15:00,OAK,9,2.5,CHR,6,6.0,-6.5,OAK
13,2000,1,2000-09-03 13:01:00,WAS,20,9.5,CAR,17,17.0,-10.5,WAS
14,2000,1,2000-09-04 21:07:00,RAM,41,34.5,DEN,36,36.0,-6.5,RAM
15,2000,2,2000-09-10 13:01:00,BUF,27,21.0,GB,18,18.0,-6.0,BUF
16,2000,2,2000-09-10 13:00:00,CIN,7,1.0,CLE,24,24.0,-6.0,CIN
17,2000,2,2000-09-10 13:00:00,IND,31,24.5,OAK,38,38.0,-6.5,IND
18,2000,2,2000-09-10 19:35:00,ARI,32,29.0,DAL,31,31.0,-3.0,ARI
19,2000,2,2000-09-10 16:16:00,DEN,42,37.5,ATL,14,14.0,-4.5,DEN
20,2000,2,2000-09-10 16:16:00,DET,15,15.0,WAS,10,4.5,-5.5,WAS
21,2000,2,2000-09-10 12:00:00,MIN,13,10.0,MIA,7,7.0,-3.0,MIN
22,2000,2,2000-09-10 13:03:00,TEN,17,8.5,KC,14,14.0,-8.5,TEN
23,2000,2,2000-09-10 13:02:00,PHI,18,15.0,NYG,33,33.0,-3.0,PHI
24,2000,2,2000-09-10 13:02:00,BAL,39,36.0,JAX,36,36.0,-3.0,BAL
25,2000,2,2000-09-10 16:15:00,CHR,27,21.5,NOR,28,28.0,-5.5,CHR
26,2000,2,2000-09-10 16:15:00,SEA,34,34.0,RAM,37,29.5,-7.5,RAM
27,2000,2,2000-09-10 16:15:00,SFO,22,22.0,CAR,38,35.0,-3.0,CAR
28,2000,2,2000-09-10 13:01:00,TAM,41,34.0,CHI,0,0.0,-7.0,TAM
29,2000,2,2000-09-11 21:09:00,NYJ,20,13.5,NWE,19,19.0,-6.5,NYJ
30,2000,3,2000-09-17 13:02:00,CAR,10,4.0,ATL,15,15.0,-6.0,CAR
31,2000,3,2000-09-17 15:16:00,CHI,7,5.0,NYG,14,14.0,-2.0,CHI
32,2000,3,2000-09-17 13:02:00,CLE,23,23.0,PIT,20,17.5,-2.5,PIT
33,2000,3,2000-09-17 13:06:00,DET,10,10.0,TAM,31,28.0,-3.0,TAM
34,2000,3,2000-09-17 13:02:00,GB,6,2.0,PHI,3,3.0,-4.0,GB
35,2000,3,2000-09-17 13:02:00,JAX,13,0.0,CIN,0,0.0,-13.0,JAX
36,2000,3,2000-09-17 16:05:00,KC,42,37.5,CHR,10,10.0,-4.5,KC
37,2000,3,2000-09-17 20:36:00,MIA,19,19.0,BAL,6,4.5,-1.5,BAL
38,2000,3,2000-09-17 16:15:00,NWE,13,11.5,MIN,21,21.0,-1.5,NWE
39,2000,3,2000-09-17 13:03:00,NYJ,27,26.0,BUF,14,14.0,-1.0,NYJ
40,2000,3,2000-09-17 16:05:00,OAK,24,21.0,DEN,33,33.0,-3.0,OAK
41,2000,3,2000-09-17 13:02:00,RAM,41,24.0,SFO,24,24.0,-17.0,RAM
42,2000,3,2000-09-17 16:15:00,SEA,20,14.0,NOR,10,10.0,-6.0,SEA
43,2000,3,2000-09-18 21:01:00,WAS,21,10.5,DAL,27,27.0,-10.5,WAS
44,2000,4,2000-09-24 13:02:00,ATL,20,20.0,RAM,41,34.5,-6.5,RAM
45,2000,4,2000-09-24 13:02:00,CHI,14,13.0,DET,21,21.0,-1.0,CHI
46,2000,4,2000-09-24 15:06:00,ARI,3,2.0,GB,29,29.0,-1.0,ARI
47,2000,4,2000-09-24 13:05:00,DAL,24,17.5,SFO,41,41.0,-6.5,DAL
48,2000,4,2000-09-24 16:16:00,DEN,22,15.0,KC,23,23.0,-7.0,DEN
49,2000,4,2000-09-24 13:03:00,MIA,10,5.5,NWE,3,3.0,-4.5,MIA
50,2000,4,2000-09-24 13:02:00,NOR,7,5.5,PHI,21,21.0,-1.5,NOR
51,2000,4,2000-09-24 20:37:00,NYG,6,5.0,WAS,16,16.0,-1.0,NYG
52,2000,4,2000-09-24 13:01:00,PIT,20,20.0,TEN,23,16.0,-7.0,TEN
53,2000,4,2000-09-24 16:17:00,OAK,36,25.5,CLE,10,10.0,-10.5,OAK
